Sheet,Pointer,Clarity,Cut,Color,Florescence,Font,Value,Value_Color,Cert_cost,Price
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,NONE,ITALIC,,WHITE,151.0,
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,FAINT,ITALIC,,WHITE,151.0,1840.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,FAINT,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,H,FAINT,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,H,FAINT,ITALIC,,WHITE,151.0,800.0
